,institution,major,degree,season,decisionfin,method,decdate,decdate_ts,gpa,grev,greq,greaw,status,date_add,date_add_ts,comment
22,University Of Texas At Austin,Aerospace Engineering,PhD,Fall 2022,Rejected,,08-04-2022,1649347200,3.4,158.0,160.0,3.0,International,08-04-2022,1649347200,"Email to visit Application Status Check page. Status changed to ""Denied"". It was not m top priority but it would be nice. 1 year related research (final work on undergrad), 1 conference paper, TA related experience."
23,California Institute of Technology,Aerospace Engineering,PhD,Fall 2021,Rejected,,01-04-2021,1617206400,,,,,International,01-04-2022,1648742400,"Generic rejection. 3 years research experience, 2 papers published as first author, stellar recommendation letters."
24,California Institute of Technology,Aeronautics,PhD,Fall 2022,Rejected,,31-03-2022,1648656000,3.5,166.0,163.0,5.0,International,31-03-2022,1648656000,"GPA is UG, have aero masters with 3.6. 4 years of research experience, 2 conferences, 1 first author paper. Expected rejection, wouldnâ€™t have applied if they hadnâ€™t given me a fee waiver, but it didnâ€™t hurt to give my dream school a try!"
25,University Of Washington,Aeronautics And Aerospace,PhD,Fall 2022,Rejected,,30-03-2022,1648569600,,,,,International,30-03-2022,1648569600,"Despite acknowledging as top PhD applicant, still rejected :("
26,University Of Notre Dame,Aerospace And Mechanical Engineering,PhD,Fall 2022,Interview,,,,,,,,International,30-03-2022,1648569600,I had an interview in January but there has been no update since then. Has anyone heard from the admission office recently?
27,Stanford University,Aerospace,PhD,Fall 2022,Rejected,,21-01-2022,1642694400,3.4,,,,American,28-03-2022,1648396800,Oh well!
28,Massachusetts Institute Of Technology,Aeronautics,PhD,Fall 2022,Rejected,,01-03-2022,1646064000,3.4,,,,American,28-03-2022,1648396800,Boston is too cold anyways
29,University Of Illinois,Aerospace Engineering,PhD,Fall 2022,Rejected,,23-03-2022,1647964800,,,,,International,23-03-2022,1647964800,"I contacted faculty before applying and he encouraged to apply at phd program this univ.
and I rejected...."
30,University Of Washington,Aeronautics & Astronautics,PhD,Fall 2022,Accepted,,15-03-2022,1647273600,,,,,International,17-03-2022,1647446400,very excited! was told will receive the offer a week earlier but seeing the admission letter itself is way better
31,Texas A&M University - College Station (TAMU),Aerospace Engineering,PhD,Fall 2022,Wait listed,,,,,,,,International,16-03-2022,1647360000,told to manage professor to get an acceptance!
32,University Of Texas At Austin,Aerospace Engineering,PhD,Fall 2022,Accepted,,14-03-2022,1647187200,,,,,American,14-03-2022,1647187200,OMG! It's a great honor to get into especially his team.
33,Penn State University,Aerospace Engineering,PhD,Fall 2022,Rejected,,14-03-2022,1647187200,,,,,American,14-03-2022,1647187200,"Emailed to inquire about status on Friday. Received this today: "" At this time, the offers for Fall 2022 have been sent out - if you did not receive one, I regret to inform you that you have not been selected for the program."""
34,University of Michigan (Ann Arbor),Aerospace Engineering,PhD,Fall 2022,Wait listed,,,,3.84,155.0,170.0,4.0,International,10-03-2022,1646841600,Ignore the waitlist. Is it safe to assume that I have been rejected if I have not heard from the department yet? MDO track.
35,Virginia Tech,Aerospace Engineering,PhD,Fall 2022,Accepted,,09-03-2022,1646755200,3.0,,,,International,09-03-2022,1646755200,"Received an offer to the Ph.D. program at Aerospace Engineering. Strong LORs, published some papers at conferences and a journal. +3 years of professional experience. Relatively bad undergrad GPA. Don't give up on your dreams :)"
36,University Of Southern California,Aerospace Engineering,PhD,Fall 2022,Rejected,,08-03-2022,1646668800,4.0,,,,American,09-03-2022,1646755200,"Email to check website. Makes no sense. Oh well, what can ya do. Doesn't matter, I got full funding at another school for a PhD which aligns better with my research anyway. Congratulations to all those who were admitted!"
37,University Of Southern California,Aerospace Engineering,PhD,Fall 2022,Rejected,,08-03-2022,1646668800,3.7,,,,International,08-03-2022,1646668800,
38,University Of Texas At Austin,Aerospace Engineering,PhD,Fall 2022,Accepted,,07-03-2022,1646582400,3.4,170.0,169.0,5.0,American,07-03-2022,1646582400,
39,Georgia Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Rejected,,04-03-2022,1646323200,3.0,,,,International,04-03-2022,1646323200,Strong LOR's. 5 conference and papers published. +3 years industry experience.
40,Stanford University,Aerospace Engineering,PhD,Fall 2022,Rejected,,28-01-2022,1643299200,,,,,International,03-03-2022,1646236800,
41,Massachusetts Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Accepted,,25-02-2022,1645718400,,,,,American,03-03-2022,1646236800,"MIT is interested in military students and industry partnerships with commercial space. No one will come out and say it but if you donâ€™t fall into one of those two categories, your chances of acceptance are almost 0."
42,"University of Colorado, Boulder",Aerospace Engineering,PhD,Fall 2022,Accepted,,03-03-2022,1646236800,,,,,International,03-03-2022,1646236800,"Got an offer from CU Boulder with details of stipend, faculty advisor and other benefits."
43,Massachusetts Institute Of Technology,Aeronautics And Astronautics,PhD,Fall 2022,Rejected,,02-03-2022,1646150400,3.73,,,,International,02-03-2022,1646150400,
44,Purdue University - West Lafayette,Aeronautics And Astronautics,PhD,Fall 2022,Accepted,,01-03-2022,1646064000,3.96,,,,International,01-03-2022,1646064000,Finally get the official admission. Interviewed with POI in July and he said he would take me. I wrote a letter to the grad office on 1/20 to ask about the progress and they said the committee chair will recommend me to the grad school. The admission progress takes a long time.
45,Massachusetts Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Rejected,,01-03-2022,1646064000,3.96,,,,International,01-03-2022,1646064000,"General rejection via email. Thank you for your interest in the Aeronautics and Astronautics graduate program at MIT. You clearly have many strengths, but unfortunately we cannot offer you admission to our department at this time. Our committee selects from a large and talented pool of applicants each year (this year fewer than 8% of applicants were admitted), and we are truly sorry that we cannot extend to you, and many other strong students, the invitation to study with us for September 2022.

We wish you much success as you take the next steps in your studies and your career."
46,Massachusetts Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Rejected,,01-03-2022,1646064000,3.6,,,,American,01-03-2022,1646064000,"Industry bro with 3.6 undergrad and MS GPA (top 3 BS/MS AE program), 2 first author conference pubs with 1 more in review. Strong research fit with POI. I think my letters of rec may have been a little meh and I didn't do enough research into the POI and attempting to make contact beforehand. If I were to apply again, I'd do that more. Generic email rejection on the last day (March 1st)"
47,"University of Colorado, Boulder",Aerospace Engineering Sciences,PhD,Fall 2022,Accepted,,01-03-2022,1646064000,,,,,American,01-03-2022,1646064000,
48,University Of Minnesota,Aerospace Engineering,PhD,Fall 2022,Rejected,,01-03-2022,1646064000,3.22,164.0,170.0,5.0,International,01-03-2022,1646064000,"2 Conference presentations, 2 years of research experience"
49,Massachusetts Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Rejected,,01-03-2022,1646064000,4.0,,,,American,01-03-2022,1646064000,"Rejected, undergrad at top 20 university - several NASA internships and awards associated with them/research internship at a UARC. Several years of research experience, but switching interests relatively late combined with covid meant no papers. It's tough out there!"
50,Massachusetts Institute Of Technology,Aeronautics,PhD,Fall 2022,Rejected,,01-03-2022,1646064000,3.5,166.0,163.0,5.0,International,01-03-2022,1646064000,"4 years research experience, 1 first author paper, 2 conferences. GPA is UG, have a Masters in aero with GPA 3.6. It was a long shot anyway, congrats to the 8%!"
51,Massachusetts Institute Of Technology,Aeronautics And Astronautics,PhD,Fall 2022,Rejected,,01-03-2022,1646064000,,,,,American,01-03-2022,1646064000,
52,Massachusetts Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Rejected,,01-03-2022,1646064000,4.0,,,,International,01-03-2022,1646064000,"Masters in Aerospace (grad Summer 2022), 3 engineering internships (2 robotics abroad, 1 in aerospace), founded and led 1st place cubesat team,  2 robotics software patents, 1 aero+ML publication with several conferences, multiple hackathon awards"
53,Massachusetts Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Rejected,,01-03-2022,1646064000,3.7,,,,International,01-03-2022,1646064000,
54,Massachusetts Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Rejected,,01-03-2022,1646064000,,,,,American,01-03-2022,1646064000,
55,University Of Illinois,Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.73,,,,International,28-02-2022,1645977600,Also received an email from Jennar at about the same time saying that I have been recommended for admission to the PhD program. Just need a PI now!
56,University Of Illinois,Aerospace Engineering,PhD,Fall 2022,Accepted,,28-02-2022,1645977600,3.74,,164.0,,International,28-02-2022,1645977600,"Recommended for acceptance, but I need to find an advisor and secure funding myself. The letter also says if I fail to find an advisor with financial support, they can defer my admission to a future semester."
57,University Of Illinois,Aerospace Engineering,PhD,Fall 2022,Accepted,,28-02-2022,1645977600,4.0,,168.0,,International,28-02-2022,1645977600,"Recommended for acceptance, but I need to find an advisor and secure funding myself. The letter also says if I fail to find an advisor with financial support, they can defer my admission to a future semester."
58,Purdue University - West Lafayette,Aerospace Engineering,PhD,Spring 2022,Accepted,,28-02-2022,1645977600,3.9,,,,American,28-02-2022,1645977600,
59,Stanford University,Aerospace Engineering,PhD,Fall 2022,Rejected,,24-02-2022,1645632000,3.96,,,,American,27-02-2022,1645891200,Rejected after three interviews
60,Stanford University,Aerospace Engineering,PhD,Fall 2022,Rejected,,24-02-2022,1645632000,,,,,American,24-02-2022,1645632000,With interview. The decision letter comes with the option to be considered for the MS program.
61,Massachusetts Institute Of Technology,Aeronautics,PhD,Fall 2022,Accepted,,22-02-2022,1645459200,,,,,American,22-02-2022,1645459200,
62,Ohio State University,Aerospace Engineering,PhD,Fall 2022,Accepted,,17-02-2022,1645027200,3.27,160.0,159.0,,American,18-02-2022,1645113600,The admission portal posted the decision. Have not received any further information about the program or funding. Anybody else had a similar experience? No funding would be a deal-breaker.
63,Purdue University - West Lafayette,Aerospace Engineering,PhD,Fall 2022,Accepted,,18-02-2022,1645113600,,,,,International,18-02-2022,1645113600,Got an email from prof notifying that he has recommended me for admit. Grad program manager mailed asking for official transcripts. Prof also mentioned that official acceptance mail will be sent soon after fellowship decisions are made for all nominations.
64,Stanford University,Aerospace Engineering,PhD,Fall 2022,Accepted,,15-02-2022,1644854400,3.94,,,,American,17-02-2022,1645027200,Got a phonecall after getting invited for interviews. Received official letter two days later
65,University Of Minnesota,Aerospace Engineering,PhD,Fall 2022,Accepted,,17-02-2022,1645027200,3.33,,,,American,17-02-2022,1645027200,"Accepted with TA fin. aid, stipend $20,264"
66,University Of Texas At Austin,Aerospace Engineering,PhD,Fall 2022,Accepted,,16-02-2022,1644940800,,,,,International,17-02-2022,1645027200,
67,Georgia Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Accepted,,12-01-2022,1641916800,3.7,,,,International,16-02-2022,1644940800,
68,University Of Minnesota,Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.5,,,,American,15-02-2022,1644854400,
69,Stanford University,Aerospace Engineering,PhD,Fall 2022,Accepted,,14-02-2022,1644768000,,,,,Other,15-02-2022,1644854400,"Email from professor. No formal acceptance yet. Coming from top 10 university outside of the US/ US citizen. Had two research internships, high grades (not GPA system), and no publications."
70,Worcester Polytechnic Institute,Aerospace Engineering,PhD,Fall 2022,Rejected,,11-02-2022,1644508800,3.27,,,,International,11-02-2022,1644508800,
71,University Of Notre Dame,Aerospace Engineering,PhD,Fall 2022,Rejected,,10-02-2022,1644422400,3.6,166.0,163.0,5.0,International,10-02-2022,1644422400,"GPA is masters; undergrad GPA 3.5. 4 years research experience, 1 first author paper with 1 more in preparation, 2 conference presentations. Research internship at national laboratory. No prior contact with PI. Emailed the grad office who said first round of acceptances are done."
72,Cornell University,Aerospace Engineering,PhD,Fall 2022,Rejected,,08-02-2022,1644249600,3.5,,,,American,08-02-2022,1644249600,
73,Rensselaer Polytechnic Institute,Aeronautical Engineering,PhD,Fall 2022,Accepted,,04-02-2022,1643904000,3.98,162.0,166.0,5.0,American,06-02-2022,1644076800,Notified via email on Feb 4. Funding details to come.
74,Rensselaer Polytechnic Institute,Aeronautical Engineering,PhD,Fall 2022,Accepted,,03-02-2022,1643817600,3.22,,,,American,03-02-2022,1643817600,Notified by email to check status. Financial aid letter to come.
75,Ren,Aeronautical Engineering,PhD,Fall 2022,Accepted,,03-02-2022,1643817600,3.33,,,,American,03-02-2022,1643817600,"Notified to check the status through email. Disclosed intent for financial aid, letter to come later."
76,University Of Notre Dame,Aerospace Engineering,PhD,Fall 2022,Accepted,,02-02-2022,1643731200,3.88,,,,American,03-02-2022,1643817600,"Received the official offer yesterday. First received an unofficial email about a week ago. Prior contact with PI, no interview"
77,Texas A&M University - College Station (TAMU),Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.88,,,,American,03-02-2022,1643817600,Invited to a visit day that will be on March 4th
78,University Of Illinois,Aerospace Engineering,PhD,Fall 2022,Interview,,,,4.0,,168.0,,International,03-02-2022,1643817600,Email from my POI to schedule an interview.
79,University Of Washington,Aeronautics And Aerospace Engineering,PhD,Fall 2022,Interview,,,,,,,,International,03-02-2022,1643817600,Mail stated that i was one of the top PhD applicants for AAE. Mentioned that a particular prof is interested in me. I contacted the professor and got the date for a discussion
80,University Of Washington,Aerospace Engineering,PhD,Fall 2022,Interview,,,,,,,,International,03-02-2022,1643817600,"stated I was one of the top candidates, named the prof who mentioned my name, and advised to approach him for interview. also asked if I still wish to be considered for admission."
81,University Of Central Florida,Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.5,,,,American,02-02-2022,1643731200,Discussed my undergrad background and the current research being performed at the professor's lab. He said that he'll be recommending the department to accept my application.
82,Georgia Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Rejected,,02-02-2022,1643731200,,,,,American,02-02-2022,1643731200,
83,Georgia Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Rejected,,02-02-2022,1643731200,,,,,American,02-02-2022,1643731200,
84,University Of Washington,Aeronautics And Astronautics,PhD,Fall 2022,Interview,,,,3.8,,,,International,31-01-2022,1643558400,"No GRE, personalized email notice the visit day"
85,Georgia Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Rejected,,31-01-2022,1643558400,3.48,161.0,170.0,4.0,International,31-01-2022,1643558400,Bachelors in CS. 1 conference publication. Lots of technical extracurricular activities. Working at an aero research lab for 6 months.
86,Stanford University,Aeronautics,PhD,Fall 2022,Rejected,,21-01-2022,1642694400,3.8,,,,International,31-01-2022,1643558400,
87,University Of Washington,Aeronautics,PhD,Fall 2022,Interview,,,,3.8,,,,International,31-01-2022,1643558400,No GRE
88,California Institute of Technology,Aerospace Engineering,PhD,Fall 2022,Wait listed,,,,,,,,American,30-01-2022,1643472000,Ignore the waitlist. Has anyone received any interviews or acceptances from GALCIT yet?
89,Penn State University,Aerospace Engineering,PhD,Fall 2022,Accepted,,20-12-2022,1671465600,3.44,,,,American,29-01-2022,1643385600,"First acceptance, yay!"
90,University Of Washington,Aeronautics And Astronautics,PhD,Fall 2022,Interview,,,,4.0,,168.0,,International,28-01-2022,1643299200,
91,University Of Washington,Aeronautics And Astronautics,PhD,Fall 2022,Interview,,,,3.6,,,,American,27-01-2022,1643212800,visit day notification
92,University of Michigan (Ann Arbor),Aerospace Engineering,PhD,Fall 2022,Accepted,,26-01-2022,1643126400,,,,,International,27-01-2022,1643212800,Go blue! Wish you guys all the best.
93,Stanford University,Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.7,,,,American,26-01-2022,1643126400,
94,University Of Arizona,Aerospace Engineering,PhD,Fall 2022,Wait listed,,,,3.94,,,,International,26-01-2022,1643126400,Successfully passed the first round of evaluation. Will be notified of the final decision within 3 weeks.
95,University Of Arizona,Aerospace Engineering,PhD,Fall 2022,Wait listed,,,,3.94,,,,International,26-01-2022,1643126400,Successfully passed the first round of evaluation. Will get the final decision within 3 weeks.
96,University Of Arizona,Aerospace Engineering,PhD,Fall 2022,Wait listed,,,,3.94,,,,International,26-01-2022,1643126400,Successfully passed the first round of evaluation. Will get the final decision within 3 weeks.
97,University Of Illinois,Aerospace Engineering,PhD,Fall 2022,Interview,,,,,,,,American,26-01-2022,1643126400,Invited to Aerospace Engineering Virtual Visit on Feb. 3
98,Stanford University,Aerospace Engineering,PhD,Fall 2022,Rejected,,23-01-2022,1642867200,3.22,,,,International,26-01-2022,1643126400,
99,Stanford University,Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.62,,,,American,24-01-2022,1642953600,
100,University Of Illinois,Aerospace Engineering,PhD,Fall 2022,Accepted,,23-01-2022,1642867200,,,,,Other,23-01-2022,1642867200,"Current student here, do not join Deborah Levin's lab. She is toxic, abusive, and unprofessional to her students, especially her international students. You will have a more fulfilling Ph.D. with anyone else as well as better advising."
101,Georgia Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.94,,,,International,23-01-2022,1642867200,"Two papers as 1st, one paper as 2nd author"
102,Stanford University,Aeronautics,PhD,Fall 2022,Rejected,,21-01-2022,1642694400,,,,,International,22-01-2022,1642780800,
103,Stanford University,Aerospace Engineering,PhD,Fall 2022,Rejected,,21-01-2022,1642694400,3.7,,,,International,22-01-2022,1642780800,"3.7 UG GPA, 3.95 Masters (thesis based) GPA. 1 journal (elsevier), 2 conference papers. 1 year of research lab exp during UG. 2 years research experience on NASA project (aside from thesis). UG and Masters from a mediocre engineering school. Sucks to suck, goodluck everyone!!!"
104,Stanford University,Aerospace Engineering,PhD,Fall 2022,Rejected,,22-01-2022,1642780800,3.48,161.0,170.0,4.5,International,22-01-2022,1642780800,Bachelors in CS. 1 conference publication. Lots of technical extracurricular activities. Working at an aero research lab for 6 months.
105,Stanford University,Aeronautics And Astronautics,PhD,Fall 2022,Rejected,,22-01-2022,1642780800,3.81,,,,International,22-01-2022,1642780800,Standard rejection email. No publications. Equivalent 3.81/4.00 GPA (from a top UK university) in Electrical Engineering. About 5 years of work experience.
106,Stanford University,Aerospace Engineering,PhD,Fall 2022,Rejected,,21-01-2022,1642694400,3.6,,,,American,21-01-2022,1642694400,1 publication.  Top Aerospace Engineering school
107,Stanford University,Aerospace Engineering,PhD,Fall 2022,Rejected,,21-01-2022,1642694400,,,,,American,21-01-2022,1642694400,
108,Stanford University,Aerospace Engineering,PhD,Fall 2022,Rejected,,21-01-2022,1642694400,,,,,International,21-01-2022,1642694400,standard rejection email
109,Stanford University,Aeronautics,PhD,Fall 2022,Rejected,,21-01-2022,1642694400,3.89,,,,International,21-01-2022,1642694400,Devastated. Didn't expect a rejection email so soon. I thought I had a really good shot this time but alas I'm proven wrong!
110,University of Michigan (Ann Arbor),Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.61,,,,American,21-01-2022,1642694400,
111,Purdue University - West Lafayette,Aerospace Engineering,PhD,Fall 2022,Accepted,,20-01-2022,1642608000,,,,,American,20-01-2022,1642608000,
112,Purdue University - West Lafayette,Aerospace Engineering,PhD,Fall 2022,Accepted,,20-01-2022,1642608000,3.63,,,,American,20-01-2022,1642608000,"Multiple conference papers, one first authored journal paper. Pathways program at NASA Johnson. Bad GRE scores, but Iâ€™ve been doing research since my second semester. Top ten aero undergrad school."
113,Stanford University,Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.97,,,,American,20-01-2022,1642608000,
114,Stanford University,Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.94,,,,American,19-01-2022,1642521600,
115,Georgia Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Accepted,,19-01-2022,1642521600,3.83,,,,American,19-01-2022,1642521600,"One semester of research. A few internships, one being at NASA. Didn't submit GRE. Didn't contact any profs. Nice. Good luck everyone!"
116,Penn State University,Aerospace Engineering,PhD,Fall 2022,Accepted,,18-01-2022,1642435200,4.0,,,,American,18-01-2022,1642435200,GPA is Masters. Accepted w/ funding.
117,University Of Illinois At Urbana-Champaign,Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.73,160.0,167.0,4.5,International,18-01-2022,1642435200,
118,University of Michigan (Ann Arbor),Aerospace Engineering,PhD,Fall 2022,Accepted,,18-01-2022,1642435200,3.99,161.0,163.0,,American,18-01-2022,1642435200,"Got the email at 1 AM? Undergraduate double major in Aerospace and Mechanical engineering. Worked as a university tutor and teaching assistant for 3 years and 1 year, respectively. Working on an honors thesis for the last 2.5 semesters."
119,Georgia Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Accepted,,13-01-2022,1642003200,3.7,,,,International,17-01-2022,1642348800,Got Accepted. But no information on funding yet.
120,"University of Colorado, Boulder",Aerospace Engineering,PhD,Fall 2022,Accepted,,14-01-2022,1642089600,,,,,American,15-01-2022,1642176000,"Received email on the evening of 1/14 about PhD Applicant Visiting Day in February, and had an interview with a professor back in mid-December. All the best to everyone!"
121,"University of Colorado, Boulder",Aerospace Engineering,PhD,Fall 2022,Accepted,,14-01-2022,1642089600,3.87,,,,American,14-01-2022,1642089600,"Invited to PhD Applicant Visit Day... does this mean I get in? 
Didn't submit GRE scores because they were bad. Had good grades, 1 semester of research, and 3 internships. One of the internships was online at NASA. One professor emailed me a few weeks ago.
Excited!"
122,Georgia Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Accepted,,14-01-2022,1642089600,3.99,161.0,163.0,,American,14-01-2022,1642089600,"Was told if I received funding it would come in a later letter. Undergraduate double major in Aerospace and Mechanical engineering. Worked as a university tutor and teaching assistant for 3 years and 1 year, respectively. Working on an honors thesis for the last 2.5 semesters."
123,Georgia Institute Of Technology,Aerospace Engineering,PhD,Fall 2022,Accepted,,14-01-2022,1642089600,3.99,,,,American,14-01-2022,1642089600,"Received an email to check the application portal. If I've received any funding, I will be notified in a separate follow-up letter. ~ 4 years of research experience, 1 first author publication, and some departmental/national awards."
124,University Of Illinois At Urbana-Champaign,Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.75,,,,American,12-01-2022,1641916800,First interview request Iâ€™ve gotten so far!! Research interest in robotics.
125,University Of Texas At Austin,Aerospace Engineering,PhD,Spring 2022,Rejected,,01-12-2022,1669824000,3.85,156.0,161.0,4.0,International,01-12-2021,1638288000,
126,Texas A&M University - College Station (TAMU),Aerospace Engineering,PhD,Fall 2021,Accepted,,30-04-2021,1619712000,3.5,158.0,169.0,5.0,American,09-05-2021,1620489600,"Since not a lot of acceptances got posted about this program, I wanted to give some insight into the admission process. Mine was a late admit because I reached out to a professor late, followed up with him, and received an invitation to a Zoom conversation during which this POI verbally accepted me. I received the acceptance letter and funding two days later, and I will most likely be accepting it. You will NOT get admitted to this program unless you have contacted a professor at some point in the application process. I'd go so far as to suggest you to send an email to your professor as early as September and ask him or her if they are taking any new students, making sure that you submit an application with their name if they say yes. The earlier you get in touch with a faculty member, the better your chances might be. This program truly does rolling admissions, so just reach out to a faculty member whose research you might like if you haven't heard anything yet. Best of luck to next cycle's applicants!"
127,"University Of California, San Diego",Aerospace Engineering,PhD,Fall 2021,Rejected,,08-05-2021,1620403200,3.7,,,,International,08-05-2021,1620403200,Only after about 5 months of waiting- incredible...
128,University Of Illinois,Aerospace Engineering,PhD,Fall 2021,Wait listed,,,,,,,,,22-04-2021,1619020800,"TTPB: Exactly, they can just say No at least... I have tried with 3-4 professors too... If there are only slim open positions, why do they give us false hope?"
