,institution,major,degree,season,decisionfin,method,decdate,decdate_ts,gpa,grev,greq,greaw,status,date_add,date_add_ts,comment
40,"University of Colorado, Boulder",Mechanical Engineering,PhD,Fall 2023,Interview,,,,3.8,,,,International,12-01-2023,1673452800,
41,University of Michigan (Ann Arbor),Mechanical Engineering,PhD,Fall 2023,Interview,,,,3.9,,,,International,12-01-2023,1673452800,Had an interview with a the Prof. I intend to work with. Expecting feedback.
42,Yale University,Mechanical Engineering,PhD,Fall 2023,Interview,,,,3.8,155.0,160.0,,American,09-01-2023,1673193600,
43,Georgia Institute Of Technology,Mechanical Engi,PhD,Fall 2023,Accepted,,05-12-2023,1701705600,3.71,,,,International,05-01-2023,1672848000,graduate GPA:3.71. Received the offer on 12.5.
44,Princeton University,Mechanical And Aerospace Engineering,PhD,Fall 2023,Interview,,,,3.5,,,,International,31-12-2022,1672416000,"GPA is for bachelors (aero), also have a thesis masters (mech). Emailed by a prof whom I mentioned in my SOP. 10-15mins interview with a panel of 4-5 profs arranged to be in the middle of January."
45,Princeton University,Mechanical And Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.8,,,,American,19-12-2022,1671379200,
46,Princeton University,Mechanical And Aerospace Engineering,PhD,Fall 2022,Interview,,,,3.5,,,,International,19-12-2022,1671379200,Fall 2023. Received email inviting me to a January interview session.
47,The Australian National University,Mechatronic Systems Engineering,PhD,Fall 2022,Rejected,,20-07-2022,1658246400,4.0,,,,International,20-07-2022,1658246400,
48,University Of Minnesota,Mechanical Engineering,PhD,Fall 2022,Accepted,,17-06-2022,1655395200,3.59,,,,International,28-06-2022,1656345600,"I have done my bachelor in Physics. 2 years of experience in Laser Physics. 
Going to join the Plasma Physics Lab there. No Gre. IELTS 7."
49,Purdue University - West Lafayette,Mechanical Technology,PhD,Fall 2022,Accepted,,03-02-2022,1643817600,,,,,International,23-05-2022,1653235200,
50,Syracuse University,Mechanical And Aerospace Engineering,PhD,Fall 2022,Rejected,,10-05-2022,1652112000,3.85,156.0,161.0,4.0,International,11-05-2022,1652198400,I have no idea why they took so long to make a decision.
51,McGill University,Mechanical Engineering,PhD,Fall 2022,Accepted,,22-04-2022,1650556800,3.5,,,,International,11-05-2022,1652198400,Declined the offer.
52,University Of New Mexico,Mechanical Engineering,PhD,Fall 2022,Accepted,,03-05-2022,1651507200,3.64,152.0,165.0,3.0,International,10-05-2022,1652112000,
53,SUNY Buffalo,Mechanical Engineering,PhD,Fall 2022,Wait listed,,,,3.27,,,,International,01-05-2022,1651334400,Please decline your offer if you do not plan on attending this program! I would love to be taken off of the wait-list as this is my first choice school!
54,"University Of California, San Diego",Mechanical And Aerospace Engineering,PhD,Fall 2022,Rejected,,15-03-2022,1647273600,3.61,158.0,170.0,3.5,International,22-04-2022,1650556800,From a 2nd gen IIT. Applied for the fluid mechanics specialization. 1 first-authored journal in PoF and 3 three international conference papers with one being in TU Darmstadt and the rest were in old IITs. Got a D-PhD offer from a better-ranked university.
55,Texas A&M University - College Station (TAMU),Mechanical Engineering,PhD,Fall 2022,Accepted,,19-04-2022,1650297600,,,,,International,20-04-2022,1650384000,
56,University Of Minnesota,Mechanical Engineering,PhD,Fall 2022,Rejected,,19-04-2022,1650297600,,,,,International,19-04-2022,1650297600,email to check website
57,Texas A&M,Mechanical Engineering,PhD,Fall 2022,Accepted,,19-04-2022,1650297600,3.92,,170.0,,International,19-04-2022,1650297600,
58,Texas A&M University - College Station (TAMU),Mechanical Engineering,PhD,Fall 2022,Rejected,,19-04-2022,1650297600,,,,,International,19-04-2022,1650297600,"You can check out the status in howdy portal(See Manage Applications in Applicant).
Do not waste time until the application status appears in information system."
59,Texas A&M University - College Station (TAMU),Mechanical Engineering,PhD,Fall 2022,Rejected,,19-04-2022,1650297600,3.3,,,,International,19-04-2022,1650297600,
60,University Of Notre Dame,Mechanical And Aerospace Engineering,PhD,Fall 2022,Accepted,,18-04-2022,1650211200,,159.0,166.0,4.0,International,18-04-2022,1650211200,
61,"University Of Nevada, Las Vegas",Mechanical Engineering,PhD,Fall 2022,Accepted,,28-03-2022,1648396800,3.5,147.0,163.0,3.0,International,16-04-2022,1650038400,"Got admission, but no news on funding yet. Is there anyone got funding decision yet?"
62,University Of Illinois Urbana-Champaign,Mechanical Engineering,PhD,Fall 2022,Rejected,,16-04-2022,1650038400,,,,,International,16-04-2022,1650038400,
63,University Of Virginia,Mechanical And Aerospace Engineering,PhD,Fall 2022,Rejected,,16-04-2022,1650038400,,,,,International,16-04-2022,1650038400,
64,Penn State University,Mechanical Engineering,PhD,Fall 2022,Accepted,,19-01-2022,1642521600,3.61,158.0,170.0,3.5,International,15-04-2022,1649952000,I just declined the offer. Good luck!
65,University Of Virginia,Mechanical And Aerospace Engineering,PhD,Fall 2022,Accepted,,14-04-2022,1649865600,,,,,Other,14-04-2022,1649865600,"TTPB Hi, do you received funding details?"
66,Carnegie Mellon University,Mechanical Engineering,PhD,Fall 2022,Wait listed,,,,3.9,,,,International,13-04-2022,1649779200,Did anyone get off the waitlist before for a Ph.D. program at CMU?  Do you know how likely this can happen?
67,University Of Maryland,Mechanical Engineering,PhD,Fall 2022,Rejected,,13-04-2022,1649779200,,,,,International,13-04-2022,1649779200,My portal updated from under program review to under grad school review. I'm assuming official rejection is on the way. Anybody in the same situation?
68,Ohio State University,Mechanical Engineering,PhD,Fall 2022,Rejected,,13-04-2022,1649779200,3.29,,,,International,13-04-2022,1649779200,
69,University Of Florida,Mechanical And Aerospace Engineering,PhD,Fall 2022,Wait listed,,,,,,,,International,13-04-2022,1649779200,"Ignore Waitilist. I've been ghosted by this program. No results, no email answers. Any accepted for PhD Fall 2022?"
70,"University Of California, Berkeley",Mechanical Engineering,PhD,Fall 2022,Rejected,,12-04-2022,1649692800,3.85,155.0,168.0,4.0,International,12-04-2022,1649692800,Received the final rejection of the season! It's a wrap for me guysss! :) 6a/6r
71,University Of Washington,Mechanical Engineering,PhD,Fall 2022,Accepted,,21-01-2022,1642694400,3.4,153.0,170.0,3.0,American,12-04-2022,1649692800,
72,Purdue University - West Lafayette,Mechanical Engineering,PhD,Fall 2022,Accepted,,11-04-2022,1649606400,3.61,158.0,170.0,3.5,International,12-04-2022,1649692800,PI interviewed me on 5th April and offered an RAship on the 11th. Will accept it. 2a/1r/2p
73,"University Of California, Berkeley",Mechanical Engineering,PhD,Fall 2022,Rejected,,12-04-2022,1649692800,,,,,International,12-04-2022,1649692800,I really donâ€™t know what took them so long
74,"University Of California, Berkeley",Mechanical Engineering,PhD,Fall 2022,Accepted,,06-04-2022,1649174400,4.0,166.0,170.0,6.0,American,11-04-2022,1649606400,
75,University of Michigan (Ann Arbor),Mechanical Engineering,PhD,Fall 2022,Accepted,,11-03-2022,1646928000,4.0,166.0,170.0,6.0,American,11-04-2022,1649606400,
76,California Institute of Technology,Mechanical Engineering,PhD,Fall 2022,Rejected,,17-03-2022,1647446400,4.0,166.0,170.0,6.0,American,11-04-2022,1649606400,
77,Princeton University,Mechanical And Aerospace Engineering,PhD,Fall 2022,Rejected,,01-02-2022,1643644800,4.0,166.0,170.0,6.0,American,11-04-2022,1649606400,
78,University Of Texas At Austin,Mechanical Engineering,PhD,Fall 2022,Accepted,,27-01-2022,1643212800,4.0,166.0,170.0,6.0,American,11-04-2022,1649606400,
79,University Of Houston,Mechanical Engineering,PhD,Fall 2022,Accepted,,07-04-2022,1649260800,3.6,147.0,170.0,3.0,International,09-04-2022,1649433600,
80,"University Of California, Berkeley",Mechanical Engineering,PhD,Fall 2022,Rejected,,09-04-2022,1649433600,,,,,International,09-04-2022,1649433600,
81,"University Of California, Berkeley",Mechanical Engineering,PhD,Fall 2022,Rejected,,08-04-2022,1649347200,,,,,International,09-04-2022,1649433600,
82,"University Of California, Berkeley",Mechanical Engineering,PhD,Fall 2022,Rejected,,08-04-2022,1649347200,,,,,American,08-04-2022,1649347200,
83,Kansas State University,Mechanical Engineering,PhD,Fall 2022,Rejected,,05-04-2022,1649088000,3.29,,,,International,08-04-2022,1649347200,Got an interview in last August 2021. The professor was very kind and communicative . But after I have applied the whole graduate school including professor had ghosted me ! I sent lots of email to know my status. But surprisingly none knew anything of admission. Then the Facebook page of graduate school one-day noticed my text what I had sent eternal times ago ! Finally they responded and on that day I got my rejection email finally!! I got relieved ðŸ˜Œ. I submitted my application in December 2021 and got rejection in April. Very prompt service
84,Mississippi State University,Mechanical Engineering,PhD,Fall 2022,Accepted,,08-04-2022,1649347200,3.29,,,,International,08-04-2022,1649347200,Today I got notification via email from graduate school. I got accepted but there is no mention of funding.
85,New York University,Mechanical Engineering,PhD,Fall 2022,Rejected,,08-04-2022,1649347200,3.34,,169.0,,International,08-04-2022,1649347200,"No email, checked the portal by chance. Updated at 6pm est."
86,University Of Toronto,Mechanical And Industrial Engineering,PhD,Fall 2022,Accepted,,08-04-2022,1649347200,,,,,Other,08-04-2022,1649347200,Canadian applicant.
87,University Of Texas At Austin,Mechanical Engineering,PhD,Fall 2022,Rejected,,07-04-2022,1649260800,3.9,157.0,169.0,4.0,International,07-04-2022,1649260800,"Advice to future applicants, stay away from UT Austin the department is literally the worst one I've dealt with in years. No communication whatsoever since applying in early December. The program coordinator responds in an extremely rude manner for unknown reasons. Just wasted $90."
88,University Of Texas At Austin,Mechanical Engineering,PhD,Fall 2022,Rejected,,07-04-2022,1649260800,,,,,International,07-04-2022,1649260800,
89,Johns Hopkins University,Mechanical Engineering,PhD,Fall 2022,Rejected,,04-04-2022,1649001600,,,,,International,05-04-2022,1649088000,
90,Vanderbilt University,Mechanical Engineering,PhD,Fall 2022,Rejected,,04-04-2022,1649001600,3.82,150.0,159.0,3.5,International,04-04-2022,1649001600,"This is ridiculous...A university of rank 422 in engineering and technology rejects you, but you get admitted to a rank 34th university..."
91,Johns Hopkins University,Mechanical Engineering,PhD,Fall 2022,Rejected,,04-04-2022,1649001600,3.94,,170.0,,International,04-04-2022,1649001600,
92,University Of North Texas,Mechanical Engineering,PhD,Fall 2022,Accepted,,24-03-2022,1648051200,3.34,,167.0,,International,04-04-2022,1649001600,
93,"University Of California, Los Angeles",Mechanical Engineering,PhD,Fall 2022,Accepted,,03-04-2022,1648915200,,,,,International,03-04-2022,1648915200,Received email to check portal. I will decline.
94,University of Michigan (Ann Arbor),Mechanical Engineering,PhD,Fall 2022,Rejected,,01-04-2022,1648742400,,,,,International,03-04-2022,1648915200,
95,Stanford University,Mechanical Engineering,PhD,Fall 2022,Rejected,,01-04-2022,1648742400,,,,,International,03-04-2022,1648915200,
96,Stanford University,Mechanical Engineering,PhD,Fall 2022,Rejected,,02-04-2022,1648828800,,,,,International,02-04-2022,1648828800,Finally got the dreaded status update! Heartbreaking to get rejected :(. 6a/5r/1p (which also is most likely a reject)
97,Stanford University,Mechanical Engineering,PhD,Fall 2022,Rejected,,01-04-2022,1648742400,,,,,International,01-04-2022,1648742400,
98,Georgia Institute Of Technology,Mechanical Engineering,PhD,Fall 2022,Accepted,,01-04-2022,1648742400,,,,,International,01-04-2022,1648742400,
99,Stanford University,Mechanical Engineering,PhD,Fall 2022,Rejected,,01-04-2022,1648742400,3.0,154.0,166.0,4.0,International,01-04-2022,1648742400,"found PI that wanted to accept me, received a general rejection email"
100,University of Michigan (Ann Arbor),Mechanical Engineering,PhD,Fall 2022,Rejected,,01-04-2022,1648742400,3.82,,169.0,,International,01-04-2022,1648742400,Didn't get even one acceptance. What a disaster!!
101,University of Michigan (Ann Arbor),Mechanical,PhD,Fall 2022,Rejected,,01-04-2022,1648742400,3.82,150.0,159.0,3.5,International,01-04-2022,1648742400,"The POI suggested applying while he doubted his funding. Eventually, he informed me he couldn't find the required financial aid..."
102,University Of Washington,Mechanical Engineering,PhD,Fall 2022,Wait listed,,,,,,,,International,01-04-2022,1648742400,"did anyone hear back from this program yet? when i emailed them they said that they're anticipating to send decisions no later than the end of march, but i got nothing."
103,University Of Cincinnati,Mechanical Engineering,PhD,Fall 2022,Interview,,,,,,,,International,31-03-2022,1648656000,Did anyone hear back after Mechanical Engineering PhD interview?
104,University Of Illinois (UIUC),Mechanical Engineering,PhD,Fall 2022,Rejected,,31-03-2022,1648656000,3.5,,,,International,31-03-2022,1648656000,Master's GPA 3.6
105,Johns Hopkins University,Mechanical Engineering,PhD,Fall 2022,Wait listed,,,,,,,,International,30-03-2022,1648569600,Waitlisted. Is anyone planning to decline the offer? Thank you.
106,University Of Toronto,Mechanical And Industrial Engineering,PhD,Fall 2022,Accepted,,29-03-2022,1648483200,,,,,Other,29-03-2022,1648483200,
107,George Washington University,Mechanical And Aerospace Engineering,PhD,Fall 2022,Rejected,,29-03-2022,1648483200,,,,,International,29-03-2022,1648483200,Generic rejection mail
108,University of Michigan (Ann Arbor),Mechanical Engineering,PhD,Fall 2022,Rejected,,29-03-2022,1648483200,3.74,,,,International,28-03-2022,1648396800,
109,University of Michigan (Ann Arbor),Mechanical Engineering,PhD,Fall 2022,Rejected,,28-03-2022,1648396800,,,,,International,28-03-2022,1648396800,
110,University of Michigan (Ann Arbor),Mechanical Engineering,PhD,Fall 2022,Rejected,,28-03-2022,1648396800,,,,,International,28-03-2022,1648396800,
111,University Of Nevada Reno,Mechanical Engineering,PhD,Fall 2022,Accepted,,22-03-2022,1647878400,3.31,,,,International,28-03-2022,1648396800,
112,New Jersey Institute Of Technology,Mechanical Engineering,PhD,Fall 2022,Rejected,,28-03-2022,1648396800,3.58,148.0,147.0,3.0,International,28-03-2022,1648396800,LOW GRE
113,Texas A&M University - College Station (TAMU),Mechanical Engineering,PhD,Fall 2022,Rejected,,25-03-2022,1648137600,3.25,,,,International,26-03-2022,1648224000,I received an email guide to activate NetID. Then check the application status on the Howdy Portal and denied admission.
114,Columbia University,Mechanical Engineering,PhD,Fall 2022,Accepted,,17-03-2022,1647446400,,,,,International,26-03-2022,1648224000,
115,"University Of California, Los Angeles",Mechanical Engineering,PhD,Fall 2022,Rejected,,26-03-2022,1648224000,,,,,International,26-03-2022,1648224000,
116,"University Of California, Berkeley",Mechanical Engineering,PhD,Fall 2022,Wait listed,,,,,,,,International,25-03-2022,1648137600,"Did someone heard back, are they still choosing students? Or should we wait for general rejection email?"
117,West Virginia University,Mechanical Engineering,PhD,Fall 2022,Accepted,,25-03-2022,1648137600,3.85,156.0,161.0,4.0,International,25-03-2022,1648137600,"I was notified of acceptance on February 16 but got the GTA offer ($21,330 for 9 months) today."
118,"University Of California, Davis",Mechanical Engineering,PhD,Fall 2022,Accepted,,24-03-2022,1648051200,3.7,,,,International,24-03-2022,1648051200,Fellowship and funding offered for the entire program
119,University of Michigan (Ann Arbor),Mechanical Engineering,PhD,Fall 2022,Rejected,,24-03-2022,1648051200,3.97,168.0,170.0,5.0,American,24-03-2022,1648051200,Offered admission to the Master's program instead.
120,University Of Pennsylvania,Mechanical Engineering,PhD,Fall 2022,Rejected,,24-03-2022,1648051200,3.97,168.0,170.0,5.0,American,24-03-2022,1648051200,
121,University Of Notre Dame,Mechanical Engineering,PhD,Fall 2022,Rejected,,12-03-2022,1647014400,,,,,International,23-03-2022,1647964800,
122,University Of Pennsylvania,Mechanical Engineering,PhD,Fall 2022,Rejected,,23-03-2022,1647964800,3.85,155.0,168.0,4.0,International,23-03-2022,1647964800,Email to check portal. Sad :(. No interview. Research area: Robotics. 5a/3r/4p
123,Penn State University,Mechanical Engineering,PhD,Fall 2022,Rejected,,21-03-2022,1647792000,3.91,,,,International,21-03-2022,1647792000,
124,Penn State University,Mechanical Engineering,PhD,Fall 2022,Rejected,,21-03-2022,1647792000,3.3,,,,International,21-03-2022,1647792000,"Undergrad GPA converted by WES: 3.5
Master's GPA converted by WES: 3.6"
125,Penn State University,Mechanical Engineering,PhD,Fall 2022,Rejected,,21-03-2022,1647792000,,,,,International,21-03-2022,1647792000,
126,California Institute of Technology,Mechanical Engineering,PhD,Fall 2022,Rejected,,15-03-2022,1647273600,3.98,,,,International,21-03-2022,1647792000,
127,Pennsylvania State University,Mechanical Engineering,PhD,Fall 2022,Rejected,,21-03-2022,1647792000,3.56,144.0,164.0,3.0,International,21-03-2022,1647792000,MS gpa: 3.179/4.00
128,California Institute of Technology,Mechanical Engineering,PhD,Fall 2022,Rejected,,17-03-2022,1647446400,,,,,International,21-03-2022,1647792000,
129,Penn State University,Mechanical Engineering,PhD,Fall 2022,Rejected,,21-03-2022,1647792000,,,,,International,21-03-2022,1647792000,
130,University Of Washington,Mechanical Engineering,PhD,Fall 2022,Accepted,,18-03-2022,1647532800,3.98,167.0,169.0,4.5,American,19-03-2022,1647619200,Accepted to Masters program instead of PhD due to lack of funding
131,University Of Washington,Mechanical Engineering,PhD,Fall 2022,Accepted,,18-03-2022,1647532800,3.9,161.0,167.0,4.5,International,18-03-2022,1647532800,"Didn't get into the Ph.D. program but got offered a spot in the M.S. in Mechanical Engineering. I'm pretty sure it's unfunded so immediately off the table, unfortunately."
132,California Institute of Technology,Mechanical Engineering,PhD,Fall 2022,Rejected,,17-03-2022,1647446400,3.86,,,,American,18-03-2022,1647532800,
133,California Institute of Technology,Mechanical Engineering,PhD,Fall 2022,Rejected,,17-03-2022,1647446400,4.0,,,,American,17-03-2022,1647446400,
134,California Institute of Technology,Mechanical Engineering,PhD,Fall 2022,Rejected,,17-03-2022,1647446400,,159.0,166.0,4.5,International,17-03-2022,1647446400,"On behalf of the staff and faculty at the California Institute of Technology, we would like to thank you for your application to the graduate program.  Regretfully, we are unable to offer you a place in our incoming graduate class.  Please be assured that each application was carefully reviewed by the relevant admissions committee.  Caltech is a small school, and we have limited slots in the graduate program.  As a result, we can admit less than 10% of the applicants who apply each year, and we have to turn down many highly qualified candidates.  
We wish you the best of luck in your future endeavors. 
Best Regards,
Caltech Graduate Studies"
135,University Of Maryland,Mechanical Engineering,PhD,Fall 2022,Accepted,,16-03-2022,1647360000,3.34,,169.0,,International,17-03-2022,1647446400,RA and TA position sponsored by PI
136,Northwestern University,Mechanical Engineering,PhD,Fall 2022,Rejected,,17-03-2022,1647446400,,,,,International,17-03-2022,1647446400,
137,Northwestern University,Mechanical,PhD,Fall 2022,Rejected,,16-03-2022,1647360000,3.78,,,,International,16-03-2022,1647360000,
138,"University Of California, Berkeley",Mechanical Engineering,PhD,Fall 2022,Accepted,,15-03-2022,1647273600,3.28,,,,American,16-03-2022,1647360000,"4x NASA intern, discussed with POI at Berkeley and NASA on future research for a year, NASA pulled me out of depression and I am glad it all worked out in the end."
139,University Of Virginia,Mechanical And Aerospace Engineering,PhD,Fall 2022,Accepted,,16-03-2022,1647360000,3.33,,,,American,16-03-2022,1647360000,Just got the official notification that I have been accepted. Funding details to come. Very excited!
140,University Of Illinois,Mechanical Engineering,PhD,Fall 2022,Wait listed,,,,,,,,International,16-03-2022,1647360000,[Ignore the waitlist] . Did anyone get an admission decision from UIUC? waiting more than 3.5 months. No response yet! Do you have any idea when they will release the decision?
141,Johns Hopkins University,Mechanical Engineering,PhD,Fall 2022,Rejected,,16-03-2022,1647360000,3.25,,,,International,16-03-2022,1647360000,Received an email to check the portal for update. A very large number of applications bla bla bla.
142,University Of Pennsylvania,Mechanical Engineering,PhD,Fall 2022,Accepted,,14-03-2022,1647187200,3.9,161.0,167.0,4.5,International,16-03-2022,1647360000,
143,"University Of California, Berkeley",Mechanical Engineering,PhD,Fall 2022,Accepted,,15-03-2022,1647273600,3.9,161.0,167.0,4.5,International,15-03-2022,1647273600,
144,"University Of California, San Diego",Mechanical And Aerospace Engineering,PhD,Fall 2022,Rejected,,15-03-2022,1647273600,3.98,,,,International,15-03-2022,1647273600,GPA is Master's. No interview or GRE. Should have contacted professors before and after applying given how much influence they have on admits.
145,"University Of California, San Diego",Mechanical Engineering,PhD,Fall 2022,Rejected,,15-03-2022,1647273600,,,,,International,15-03-2022,1647273600,"Expected because no interview & no GRE, wasn't a good match either. Had contacts with a faculty member but would not have applied if it weren't for the fee waiver I got (had more attractive offers). The stipends of UCs are relatively low but the housing and various other fees are super expensive (and get more expensive every year) so not necessarily an ideal place for international students to study a PhD for 4-5 years on a fixed income. Ask the department to send you the application for fee waiver and wait after submitting it. I got the code on December 14 (one day before deadline)."
146,"University Of California, San Diego",Mechanical Engineering,PhD,Fall 2022,Rejected,,15-03-2022,1647273600,3.94,,170.0,,International,15-03-2022,1647273600,
147,University Of Washington,Mechanical Engineering,PhD,Fall 2022,Wait listed,,,,3.8,,,,International,14-03-2022,1647187200,I applied for the graduate program in early december. I am still waiting for a email. Has anyone got any admission decision already?
148,Boston University,Mechanical Engineering,PhD,Fall 2022,Rejected,,14-03-2022,1647187200,3.74,153.0,167.0,,International,14-03-2022,1647187200,
149,Boston University,Mechanical Engineering,PhD,Fall 2022,Rejected,,14-03-2022,1647187200,,,,,International,14-03-2022,1647187200,
150,Boston University,Mechanical Engineering,PhD,Fall 2022,Rejected,,14-03-2022,1647187200,,,,,International,14-03-2022,1647187200,
151,University Of Pennsylvania,Mechanical Engineering,PhD,Fall 2022,Rejected,,14-03-2022,1647187200,,,,,International,14-03-2022,1647187200,
